category,template_id,layer,head_idx,mean_baseline,mean_ablated,mean_delta,n_items
C,C2,11,10,7.7229195,9.159184455871582,1.436264991760254,1
C,C2,0,4,6.1693273,5.5778422355651855,-0.5914850234985352,2
C,C2,8,10,6.1693273,6.324462890625,0.1551356315612793,2
C,C2,8,11,6.1693273,5.343679904937744,-0.8256473541259766,2
C,C2,9,8,6.1693273,4.644059658050537,-1.5252676010131836,2
C,C2,9,9,6.1693273,5.219336032867432,-0.9499912261962891,2
C,C2,10,0,6.1693273,4.260152816772461,-1.9091744422912598,2
C,C2,10,7,6.1693273,7.782763481140137,1.613436222076416,2
C,C2,10,10,6.1693273,5.448571681976318,-0.7207555770874023,2
C,C2,11,2,6.1693273,5.703097343444824,-0.4662299156188965,2
C,C2,11,10,6.1693273,6.820221424102783,0.6508941650390625,2
